RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
36,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 036",36,3,7,5,8,45,TY,TRIPS SPREAD GUN,FAR,,BUC BASE,,NKL DOG PEEL,P,7,2,,,C,,,,,,,,,,,,NKL,,,,,,,,,,,,RUTG
37,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 037",37,1,10,5,9,38,TY,SQUARE UNB,GUN NEAR,OPTION SPEED,,FLOW,NKL OVER 1,R,-3,2,,H,,,,PISTOL,,Y-OFF,SHIFT,,3,,,,NKL,OVER,,,1,MF,,,,,,,RUTG
38,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 038",38,2,13,5,10,41,TY,TREY GUN,NEAR,,CURL,,NKL WHACK,P,15,2,,,C,,,,,,,,,,,,NKL,,,WHACK,,,,,,,,,RUTG
39,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 039",39,1,10,5,11,26,TY,TREY YLW,GUN NEAR,OPTION SPLIT ARC,,SPLIT,NKL OVER PIRATE 2,R,-3,2,,H,,,,PISTOL,ZOOM JET,,SHIFT,ARC,3,,,,NKL,OVER,PIRATE,,2,Z2,,,,,,,RUTG
40,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 040",40,1,10,6,1,-25,TY,TREY GUN,NEAR,JET SWEEP,,,NKL DART PLAY IT,P,-3,3,,,C,,,,W-JET,Y-OFF,,,,,,,NKL,,,,,,,,,,,,RUTG
41,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 041",41,2,13,6,2,-22,TY,TRIPS UNB GUN,NEAR,,WHEEL,,NKL OVER PIRATE SKY 2,P,-6,3,,,F,,,,W-JET,,,,,,,,NKL,OVER,,,2 SKY,,,,,,,,RUTG
42,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 042",42,3,19,6,3,-16,TY,EMPTY GUN,,,WALSH,,NKL GREEN LOOSE 2,P,0,3,,,I,,,,,,,,,,,,NKL,GREEN,,,,,,,,,,,RUTG
43,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 043",43,1,10,7,1,-25,TY,TRIPS YLW GUN,NEAR,BELLY STR HAWK,,,NKL DART PLAY IT,R,5,3,,,,,,PISTOL TRIPS YLW,Y-IG,,SHIFT,,,,,,NKL,,,,,,,,,,,,RUTG
44,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 044",44,2,5,7,2,-30,TY,SQUARE YLW UNB,GUN NEAR,OPTION FLOP HAWK AV,,FLOP,NKL UNDER 10,R,9,3,,Q,,,,PISTOL,,,SHIFT,HAWK AVOID,3,,,,NKL,UNDER,,,10,MF,,,,,,,RUTG
45,"1606 IL DEF VS RU 10-15-16 SS IC_Clean, Play 045",45,1,10,7,3,-39,TY,SQUARE UNB,GUN NEAR,OPTION FLOW,,FLOW,NKL DART PLAY IT,R,6,3,,H,,,,,,Y-OFF,,,3,,,,NKL,,,DART,,,,,,,,,RUTG
