RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent,Play.Comments1
23,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 023",23,2,8,4,4,44,TY,TRIPS SPREAD BUNCH,GUN NEAR,,BINGO BUC BASE,DBP,NKL OVER 2,P,-8,1,,,S,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,NKL UNDER 10,,,,,,NW,
24,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 024",24,3,16,4,5,-48,TY,TRIPS,GUN FAR,,DOUBLE DIG,DBP,NKL GREEN 2,P,13,2,,,C,,,,,Y-OFF,,,,,,,,GREEN,,,2 BLUFF,Z2,,,,,,,NW,
25,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 025",25,4,3,4,6,39,TY,TITE STACK,GUN NEAR,,CROSSERS,DBP,NKL OVER 2,P,-1,2,,,S,,,,Z-IG,,,,,,,,,OVER,,,2,Z2,NKL UNDER 10,,,,,,NW,
26,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 026",26,1,10,5,1,45,TY,TREY,GUN FAR,OPTION BOUNCE STR,,FLOOD,NKL UNDER 10,R,27,2,,H,,,,,,,,WIPE O,,,,,,UNDER,,,10,MF,,,,,,,NW,
27,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 027",27,1,10,5,2,18,TY,TREY,GUN FAR,,TRAP PASS,PFLOOD,NKL UNDER 10,P,11,2,,,C,,,,,,,,BUC BASE,,,,,UNDER,,,10,MF,,,,UC,,,NW,
28,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 028",28,1,3,5,3,3,DC,TRIPLES,GUN NEAR,BOUNCE STR,,SPLIT,UNDER T-10,R,3,2,,H,,,,,,,,WIPE T,,,,,,UNDER,,,T-10,T-MF,,,,,,,NW,
29,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 029",29,1,10,6,1,-25,TY,TRIPS,GUN NEAR,OPTION BOUNCE WK,,FLOW,NKL OVER NOTE 1,R,3,2,,H,,,,,,,,WIPE T,,,,,,OVER,NOTE,,1,MF,,,,FM,,,NW,
30,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 030",30,1,10,6,2,-43,QD,TRIPS,GUN NEAR,OPTION SPEED,,FLOW,NKL DART,R,7,2,,H,,,,,,,,,,,,,,,,DART,,ZP,,,,,,,NW,
31,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 031",31,2,3,6,3,50,QD,TRIPS,GUN NEAR,OPTION BOUNCE WK,,FLOW,NKL OVER NOTE 1,R,0,2,,H,,,,,,,,WIPE,,,,,,OVER,NOTE,,1,MF,,,,,,,NW,
32,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 032",32,3,3,6,4,50,TY,EMPTY BUNCH,EMPTY GUN,,SPACING,DBP,NKL OVER 2,P,5,2,,,C,,,,,,,,SLANTS,,,,,OVER,,,2,Z2,NKL OVER NOTE 1,,,,,,NW,
33,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 033",33,1,10,6,5,45,QD,TRIPS,GUN NEAR,,STAR ROUTE,SPRINTOUT,NKL WHACK,P,2,2,,,C,,,,,,,,,,,,,,,WHACK,,ZP,,,,,,,NW,
34,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 034",34,2,8,6,6,43,QD,TRIPS,GUN NEAR,OPTION SPEED,,FLOW,NKL WHACK,R,3,2,,H,,,,,,,,,,,,,,,,WHACK,,ZP,,,,,,,NW,
35,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 035",35,3,5,6,7,40,QD,TRIPS,GUN NEAR,QB DRAW,,FLOW,NKL OVER PRESS 3,R,4,2,,,,,,,,,,,,,,,,OVER,,,3 PRESS,Z3,,,,,,,NW,
36,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 036",36,4,1,6,8,36,FT,JUMBO,I,LEAD STR,,FLOW,OVER 1,R,,2,,,,,,,,,,,,,,,,OVER,SNEAK,,1,MF,,,,HO,,,NW,
37,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 037",37,1,10,7,1,-25,,,,KNEEL DOWN,,,,,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,NW,
38,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 038",38,1,10,8,1,-25,TY,TRIPLES,GUN NEAR,BELLY WK,,SPLIT,NKL UNDER 10,R,-1,3,,,,,,,,,,,,,,,,UNDER,,,10,MF,,,,,,,NW,
39,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 039",39,2,11,8,2,-24,TY,TRIPS,GUN NEAR,,COUNTER PASS,PSPLIT,NKL UNDER 10,P,0,3,,,I,,,,,,,,,,,,,UNDER,,,10,MF,,,,,,,NW,
40,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 040",40,3,11,8,3,-24,TY,TRIPS,GUN NEAR,,DOUBLE DIG,DBP,NKL COKE,P,-5,3,,,S,,,,,,,,,,,,,,,COKE,,Z2,NKL SODA,,,,,,NW,
41,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 041",41,1,10,9,1,-16,TY,TRIPLES,GUN NEAR,,CROSSERS,DBP,NKL WHACK,P,5,3,,,C,,,,,,,,CHINA SEAM,,,,,,,WHACK,,ZP,,,,,,,NW,
42,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 042",42,2,5,9,2,-21,TY,TRIPLES,GUN FAR,,TRAP PASS,PFLOOD,NKL UNDER 10,P,10,3,,,C,,,,,,,,,,,,,UNDER,,,10,MF,,,,PF,,,NW,
43,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 043",43,1,10,9,3,-46,TY,TRIPS,GUN NEAR,BOUNCE STR,,FLOW,NKL UNDER 10,R,54,3,,,,,,,,,,WIPE T,,,,,,UNDER,,,10,MF,,,,,,,NW,
44,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 044",44,1,10,10,1,-34,QD,TRIPS BUNCH,GUN NEAR,SPRINT DRAW,,FLOW,NKL OVER 2,R,2,3,,,,,,,,,,,,,,,,OVER,PIRATE,,2,Z2,NKL UNDER 10,,,,,,NW,
45,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 045",45,2,8,10,2,-36,TY,TRIPLES BUNCH,GUN FAR,OPTION BOUNCE STR,,FLOOD,NKL DART,R,-1,3,,,,,,,,,,,,,,,,,,DART,,ZP,,,,HO,,,NW,
46,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 046",46,3,9,10,3,-35,QD,QUADS,GUN FAR,,DENVER,DBP,NKL DOG DBL PICK PEEL,P,-11,3,,,F,,,,,,,,OVER RT,,,,,GREEN,,DBL PICK,1,MP,,,,,,,NW,
47,"1612 IL DEF VS NU 11-26-16 SS IC_Clean, Play 047",47,1,10,11,1,-25,TY,TREY,GUN FAR,,PATRIOT PASS,PFLOOD,OVER SPEAR,P,13,3,,,C,,,,,,,BNC TUG C,,,,,,,SPEAR,,,ZP,,,,,,,NW,
