RowIndex,Name,GameSegment.PlayNumber,Football.Down,Football.Distance,Football.SeriesNumber,Football.SeriesSeq,Football.FieldPosition,Play.Defense.OPers,Play.Defense.Formation_D,Play.Defense.BackSet_D,Play.Defense.Run_Play,Play.Defense.Route_D,Play.Defense.PlayType_D,Football.dcall,Play.Shared.RunPass,Football.Gain,Play.Quarter,Play.Defense.Hash_D,Play.Shared.BCREC,Football.PassResult,Play.Defense.Target,Play.Defense.TargetNum,Play.Defense.I_Form,Football.motion_d,Play.Defense.Variation,Football.shift_D,Play.Defense.Block,Football.routedesc_D,Football.check_D,Play.Shared.GL/SY,Play.Shared.2/4,Play.Defense.Personnel_D,Play.Defense.Front_D,Football.stuntdef_D,Play.Defense.Blitz_D,Play.Defense.Cover_D,Play.Defense.Coverage_Family,Play.Defense.ID_Call,Play.Shared.NP,Football.Penalty.Jersey,Football.Penalty.Type,Football.SeriesBeg,Football.SeriesEnd,Play.Shared.Opponent
27,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 027",27,3,4,4,7,-36,TY,EMPTY,,HI LOW,,,NKL OVER PRESS 3,P,11,2,,,C,,,,,,,,,,,,NKL,OVER,,,3 PRESS,,,,,,,,PUR
28,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 028",28,1,10,4,8,-47,TY,TREY,DOT,BELLY STR,,SPLIT,NKL OVER 1,R,4,2,,,,,,,W-JET,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
29,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 029",29,2,6,4,9,49,TY,TRIPLES GUN NEAR,,STUTTER N GO,,,NKL OVER 1,P,18,2,,,C,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
30,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 030",30,1,10,4,10,31,TY,TREY,GUN NEAR,OPTION SPLIT,,SPLIT,NKL DART,R,-1,2,,,,,,,Z-IN,Y-OFF,,,1,,,,NKL,,,DART,,ZP,,,,,,,PUR
31,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 031",31,2,11,4,11,32,TY,TRIPS GUN,FAR,COUNTER O STR,,,NKL OVER 1,R,32,2,,,,,,,Z-JET,Y-OFF,,,,,,,NKL,OVER,,,,,,,,,,,PUR
32,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 032",32,1,10,5,1,-25,TY,TREY GUN NEAR Y-OFF ZOO,,BOOT FLOOD,,,NKL OVER CLOUD 1,P,1,2,,,C,,,,,,,,,,,,NKL,OVER,,,1 CLOUD,,,,,,,,PUR
33,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 033",33,2,9,5,2,-26,TY,TRIPLES,GUN FAR,OPTION FLOOD,,FLOOD,NKL OVER STICK 1,R,3,2,,H,,,,,,,,,1,,,,NKL,OVER,STICK,,1,MF,,,,,,,PUR
34,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 034",34,3,6,5,3,-29,TY,TRIPS GUN FAR,,CROSSERS,CROSSERS,,NKL OVER PRESS 1,P,26,2,,,,,,,,,,,,,,,NKL,OVER,,,1 PRESS,,,,,,,,PUR
35,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 035",35,1,10,5,4,45,TY,EMPTY,,GO ROUTE,,,NKL OVER 1,P,0,2,,,I,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
36,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 036",36,2,10,5,5,45,QD,QUADS GUN NEAR,,CHINA CORNER,,,DIME OVER 1,P,0,2,,,I,,,,,,,,,,,,DIME,OVER,,,,,,,,,,,PUR
37,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 037",37,3,10,5,6,45,TY,EMPTY,,TUNNEL SCREEN,TUNNEL SCREEN,,NKL DOG PEEL,P,45,2,,,C,,,,,,,,,,,,NKL,,,,,,,,,,,,PUR
38,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 038",38,1,10,6,1,-25,TY,TRIPS SPREAD GUN FAR,,SCREEN,,,NKL STUD NOSE 2,P,9,2,,,C,,,,,,,,,,,,NKL,OVER,STUD,,2 NOSE,,,,,,,,PUR
39,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 039",39,2,1,6,2,-34,TY,EMPTY GUN,,FALCON,,,NKL STUD 2,P,8,2,,,C,,,,,,,,,,,,NKL,OVER,STUD,,2,,,,,,,,PUR
40,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 040",40,1,10,6,3,-42,TY,,,SPIKE,,,NKL STUD 2,,0,2,,,,,,,,,,,,,,,NKL,OVER,STUD,,2,,,,,,,,PUR
41,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 041",41,2,10,6,4,-42,TY,EMPTY GUN,,SCISSORS,,,NKL STUD 2,P,9,2,,,C,,,,,,,,,,,,NKL,OVER,STUD,,2,,,,,,,,PUR
42,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 042",42,3,1,6,5,49,QD,TRIPS GUN NEAR,,HAIL MARY,,,NKL VICTORY,P,,2,,,,,,,,,,,,,,,NKL,,,,,,,,,,,,PUR
43,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 043",43,1,10,7,1,-9,TY,TREY GUN NEAR Y-OFF,,BEAR PASS,,,NKL OVER STICK 3,R,4,3,,,C,,,,,,,,,,,,NKL,OVER,STICK,,3,,,,,,,,PUR
44,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 044",44,2,6,7,2,-13,TY,TREY,GUN NEAR,OPTION SPLIT,,SPLIT,NKL OVER 1,R,5,3,,H,,,,,,Y-OFF,,,3,,,,NKL,OVER,,,1,MF,,,,,,,PUR
45,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 045",45,3,1,7,3,-18,RG,PRO,,FB BELLY,,,UNDER 10,R,1,3,,,,,,,,,,,,,,,BASE,UNDER,,,,,,,,,,,PUR
46,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 046",46,1,10,7,4,-19,TY,TRIPS GUN FAR Y-OFF,,,,,NKL OVER 1,,,3,,,,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
47,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 047",47,1,5,7,5,-24,TY,TRIPS GUN FAR Y-OFF,,CHINA SEAMS,,,NKL OVER 1,P,15,3,,,,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
48,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 048",48,1,10,7,6,-39,TY,TRIPS GUN FAR Y-OFF,,CROSSERS,,,NKL OVER PIRATE 2,P,16,3,,,C,,,,,,,,,,,,NKL,OVER,,,2,,,,,,,,PUR
49,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 049",49,1,10,7,7,45,DC,DOUBLE GUN,NEAR,BOUNCE WK,,FLOOD,OVER PRESS 1,R,-2,3,,,,,,,,U-OFF,,,,,,,BASE,OVER,,,,,,,,,,,PUR
50,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 050",50,2,12,7,8,47,TY,TRIPS GUN FAR Y-OFF,,CROSSERS,,,NKL STUD PIRATE 2,P,0,3,,,I,,,,,,,,,,,,NKL,OVER,STUD,,2,,,,,,,,PUR
51,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 051",51,3,12,7,9,47,TY,TRIPS GUN FAR Y-OFF,,,,,NKL GREEN SHOW 2,P,11,3,,,,,,,,,,,,,,,NKL,GREEN,,,,,,,,,,,PUR
52,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 052",52,4,1,7,10,36,DC,DEUCE,,FB BELLY,,,DOUBLE SNEAK,R,0,3,,,,,,,,,,,,,,,BASE,,,,,,,,,,,,PUR
53,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 053",53,1,10,8,1,-9,DC,TRIPS UNB,GUN FAR,OPTION FLOP HAWK,,FLOP,OVER 1,R,6,3,,,,,,,X-FLY JET,,,HAWK,1,,,,BASE,OVER,,,1,MF,OVER PIRATE SKY 2,,,,,,PUR
54,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 054",54,2,4,8,2,-15,TY,TRIPS GUN,FAR,COUNTER O STR,,FLOW,NKL OVER PIRATE 2,R,25,3,,,,,,,Z-IN,Y-OFF,,,,,,,NKL,OVER,,,2,,,,,,,,PUR
55,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 055",55,1,10,8,3,-40,TY,TREY GUN NEAR Y-OFF,,FLOOD PASS,,,NKL WHACK,P,0,3,,,I,,,,,,,,,,,,NKL,,,WHACK,,,,,,,,,PUR
56,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 056",56,2,10,8,4,-40,QD,QUADS GUN NEAR,,FLARE SCREEN,,,NKL OVER PIRATE BLUFF 2,P,5,3,,,C,,,,,,,,,,,,NKL,OVER,,,2 BLUFF,,,,,,,,PUR
57,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 057",57,3,5,8,5,-45,TY,TRIPLES GUN NEAR,,STEELER,,,NKL STUD 1,P,4,3,,,C,,,,,,,,,,,,NKL,OVER,STUD,,1,,NKL STUD PRESS 3,,,,,,PUR
58,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 058",58,1,10,9,1,46,QD,QUADS GUN NEAR,,SLANTS,,,NKL OVER PIRATE BLUFF 2,P,8,3,,,C,,,,,,,,,,,,NKL,OVER,,,2 BLUFF,,,,,,,,PUR
59,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 059",59,2,2,9,2,38,TY,TREY GUN FAR,,BOUNCE TUG-C,,,NKL OVER 1,R,0,3,,,,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
60,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 060",60,3,2,9,3,38,TY,TRIPS GUN FAR Y-OFF,,HITCH,,,NKL STUD PRESS 1,P,11,3,,,C,,,,,,,,,,,,NKL,OVER,STUD,,1 PRESS,,,,,,,,PUR
61,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 061",61,1,10,9,4,29,TY,TRIPLES GUN NEAR,,REVERSE PASS,,,NKL OVER 1,P,8,3,,,C,,,,,,,,,,,,NKL,OVER,,,,,,,,,,,PUR
62,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 062",62,2,2,9,5,21,TY,TRIPS,GUN NEAR,OPTION FLOW,,FLOW,NKL UNDER 10,R,1,3,,H,,,,,,Y-OFF,,,1,,,,NKL,UNDER,,,10,MF,,,,,,,PUR
63,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 063",63,3,1,9,6,20,DC,DOUBLE,,BOOT NINER,,,UNDER SNEAK 10,P,0,3,,,I,,,,,,,,,,,,BASE,,,,,,,,,,,,PUR
64,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 064",64,1,10,10,1,-31,DC,DEUCE GUN NEAR,,BOOT FLOOD,,,OVER PIRATE BLUFF 2,P,7,4,,,,,,,,,,,,,,,BASE,OVER,,,,,,,,,,,PUR
65,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 065",65,2,3,10,2,-38,TY,TRIPS GUN,FAR,COUNTER O STR,,,NKL OVER CLOUD 1,R,18,4,,,,,,,Z-IN,Y-OFF,,,,,,,NKL,OVER,,,1 CLOUD,,,,,,,,PUR
66,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 066",66,1,10,10,3,45,TY,TREY GUN,FAR,COUNTER O STR,,,NKL OVER PIRATE SKY 2,R,15,4,,,,,,,,Y-OFF,,,,,,,NKL,OVER,,,2 SKY,,,,,,,,PUR
67,"1605 IL DEF VS PU 10-08-16 SS IC_Clean, Play 067",67,1,10,10,4,30,TY,TRIPS GUN,FAR,COUNTER O STR,,,NKL OVER CLOUD 1,R,9,4,,,,,,,,Y-OFF,,,,,,,NKL,OVER,,,1 CLOUD,,,,,,,,PUR
